env,reward,method,travel_time,ci95,n_seeds,waiting_time,throughput
grid4x4,dwt,fixed_time,736.3,"[736.3, 736.3]",5,138.4,133
grid4x4,dwt,max_pressure,17.9,"[17.9, 17.9]",5,0.5,3
grid4x4,dwt,mplight,17.9,"[17.9, 17.9]",5,0.5,3
grid4x4,dwt,idqn,42.5,"[31.5, 53.9]",5,9.1,21
grid4x4,dwt,trf_coord,44.1,"[33.9, 54.9]",5,9.1,21
grid4x4,dwt,trf_coord_equal,42.7,"[32.2, 53.4]",5,9.1,21
grid4x4,pressure,fixed_time,N/A,,0,N/A,N/A
grid4x4,pressure,max_pressure,N/A,,0,N/A,N/A
grid4x4,pressure,mplight,N/A,,0,N/A,N/A
grid4x4,pressure,idqn,42.5,"[31.5, 53.9]",5,9.1,21
grid4x4,pressure,trf_coord,44.1,"[33.9, 54.9]",5,9.1,21
grid4x4,pressure,trf_coord_equal,42.7,"[32.2, 53.4]",5,9.1,21
grid4x4,queue,fixed_time,N/A,,0,N/A,N/A
grid4x4,queue,max_pressure,N/A,,0,N/A,N/A
grid4x4,queue,mplight,N/A,,0,N/A,N/A
grid4x4,queue,idqn,42.5,"[31.5, 53.9]",5,9.1,21
grid4x4,queue,trf_coord,44.1,"[33.9, 54.9]",5,9.1,21
grid4x4,queue,trf_coord_equal,42.7,"[32.2, 53.4]",5,9.1,21
cologne3,dwt,fixed_time,637.2,"[637.2, 637.2]",5,159.6,161
cologne3,dwt,max_pressure,502.0,"[502.0, 502.0]",5,87.1,66
cologne3,dwt,mplight,502.0,"[502.0, 502.0]",5,87.1,66
cologne3,dwt,idqn,8.7,"[5.4, 12.8]",5,6.6,14
cologne3,dwt,trf_coord,9.1,"[5.5, 13.4]",5,6.6,14
cologne3,dwt,trf_coord_equal,9.0,"[5.5, 13.3]",5,6.6,14
cologne3,pressure,fixed_time,N/A,,0,N/A,N/A
cologne3,pressure,max_pressure,N/A,,0,N/A,N/A
cologne3,pressure,mplight,N/A,,0,N/A,N/A
cologne3,pressure,idqn,8.7,"[5.4, 12.8]",5,6.6,14
cologne3,pressure,trf_coord,9.1,"[5.5, 13.4]",5,6.6,14
cologne3,pressure,trf_coord_equal,9.0,"[5.5, 13.3]",5,6.6,14
cologne3,queue,fixed_time,N/A,,0,N/A,N/A
cologne3,queue,max_pressure,N/A,,0,N/A,N/A
cologne3,queue,mplight,N/A,,0,N/A,N/A
cologne3,queue,idqn,8.7,"[5.4, 12.8]",5,6.6,14
cologne3,queue,trf_coord,9.1,"[5.5, 13.4]",5,6.6,14
cologne3,queue,trf_coord_equal,9.0,"[5.5, 13.3]",5,6.6,14
